signal_group,raw_source,key_fields,horizon,current_consumer,current_checkpoint_reach,derived_value_candidate,real_data_feasibility,evidence_label,main_risk
Newbie state,Actor + DriverMemory + world._newbie_settle,"tenure_days,guarantee floor,7d trips,topup",day/week,"settlement only",absent,"new-driver brief/progress/recap",tenure/profile mapping exists; program numbers are config proxy,"FACT; MOCK policy","do not present proxy policy as GSM fact"
Rating,world.py + driver_statistic_daily,"stars,ratings_n,ratings_sum,ratings_5",trip/day,"metrics and L1R aggregate",absent,"opt-in trend or recap",daily aggregate columns known,"FACT; MOCK","surveillance/misinterpretation; not an interruptive nudge"
Shift plan,S2 solver report,"schedule,current action,future plan,bucket windows,forecast",bucket/shift,"checkpoint normalizer",READY SWAP/REST; ONLINE silent,"current/future strip, plan revision, plan-vs-actual",product S2 blocked without trusted SOC/rest state,"FACT; SIMULATED","forecast uncertainty and state freshness"
Checkpoint canonical record,checkpoint.py + schema 1.2,"topic,current_action,future_plan,validity,numbers,caveats,fingerprint",checkpoint,"policy, presenter, store, Web",core path,"explainable brief/nudge/recap substrate",contract portable if upstream data has provenance,"FACT","taxonomy still covers only current producers"
Execution link,checkpoint_trace.py,"checkpoint_id,segment/event,relation_type,confidence",post-run,"metrics, artifact export",analytics side-channel,"observed follow-through without rewriting intent",needs product observation contract,"FACT; SIMULATED","confidence 0.6/coincident is not adherence or causality"
Station state,entities.py Station + world swap,"ready batteries,queue_len,wait_min,failed",instant/event,"swap dynamics, system metrics",absent,"station friction and energy-plan caveat",no live station occupancy/capacity contract,"FACT; SIMULATED","herding and stale inventory"
Market supply-demand,market_state.py,"expected_demand,supply_now,supply_incoming,capacity_left,sd_ratio",bucket,"S4 allocation",simulator-only,"capacity-aware positioning showcase and passive market context",new internal/live supply+demand contract required,"FACT; SIMULATED/PROXY","herding/fallacy of composition; no driver-facing target yet"
Demand generation,demand.py + demand_estimator.py,"orders,lambda/or realized pickup estimate,patience",bucket/day,"dispatcher,S4,research",not driver-facing,"market regime and wait expectation research",production demand columns/API not established,"FACT; SIMULATED/PROXY","oracle information and CRN attribution"
Environment,environment.py,"rain,temp,dow,event addend,route effect",minute/day,"demand,speed,SOC dynamics",absent,"multi-source showcase only",external/live feeds and normalization required,"SIMULATOR-ONLY","demo default dry; do not imply live weather/traffic"
Congestion,congestion.py,"order-density slowdown,event route slowdown",hour/cell,"travel dynamics",absent,"route-delay context research",external/live data required,"SIMULATOR-ONLY; PROXY","demand density is not measured traffic"
Multiday memory,multiday.py DriverMemory,"acceptance/completion/points-per-hour/payout/trips history,weekly totals,planned rest",day/week,"S1/S7 bridge, research",absent,"personal baseline, repeat pattern, weekly brief/recap",daily KPI/income can map; planned rest needs product memory contract,"FACT; SIMULATED","avoid future leakage and treatment-contaminated baseline"
Daily KPI,data/mock/realdata-v1/driver_statistic_daily.parquet,"acceptance,fulfillment,cancellation,completed,rating",day,"S1,S3,S8 feature derivation",no product checkpoint producer,"KPI trend and bonus-risk context",REAL-DATA-READY shape; current corpus is MOCK,"FACT about schema; MOCK values","daily latency may be too stale for intrashift nudge"
Online hours,data/mock/realdata-v1/driver_online_hours_sap_id.parquet,"online_time,schedule_date,driver_type",day,"S1/S5 features",no producer,"shift effort and weekly pace",REAL-DATA-READY shape; PII must be dropped/hashed,"FACT about schema; MOCK values","PII and daily freshness"
Daily income,data/mock/realdata-v1/driver_income_daily.parquet,"commission,total_fee,total_order,avg_daily_revenue",day/multiday,"S3/S5 features",no producer,"personal income baseline and trend",REAL-DATA-READY shape,"FACT about schema; MOCK values","gross/payout semantic mix and no intraday freshness"
Rush split,data/mock/realdata-v1/driver_orders_rush_hours.parquet,"normal/rush orders,commission,total_fee",day/multiday,"S2/S3 input potential",no producer,"personal time-window efficiency summary",REAL-DATA-READY shape,"FACT about schema; MOCK values","historical association is not causal forecast"
Stoppoints,data/mock/realdata-v1/driver_bike_stoppoints.parquet,"total_stoppoints,rush_stoppoints",day,"S3/S7 potential",no producer,"repeated waiting/stoppoint pattern",REAL-DATA-READY shape but is a coarse proxy,"FACT about schema; MOCK values","cannot distinguish rest/idle/charge alone"
Trip history,data/mock/realdata-v1/trips.parquet,"request/assign/pickup/complete,distance,duration,gross,commission,H3",event/multiday,"S1/S2/S3/S5/S7 features",no direct producer,"rolling productivity, time-window pattern, recap",new production data contract because catalog columns are unconfirmed,"MOCK corpus","PII, served-only selection bias, no unserved demand"
Hex history,data/mock/realdata-v1/public_driver_hex_tracking.parquet,"current/last/target hex,dwell,campaign,reached",event/window,"S7 feature derivation",no producer,"idle window and official-reposition outcome",schema columns known; service/API/freshness still needed,"MOCK corpus; potential REAL mapping","privacy, location sensitivity, target may be future information"
Mission corpus,data/mock/realdata-v1/public_mission*.parquet,"catalog,progress,earn history,window,reward",event/day,"S6 feature/solver",no producer,"mission brief/progress/recap",small wiring after authority/freshness contract,"MOCK corpus","reward/policy authority and overlapping missions"
Weekly KPI,data/mock/realdata-v1/kpi_driver_platform_calculator_gbq.parquet,"week bounds,status,depot,track",week,"S5 feature",no producer,"weekly pace card/analytics",new policy target contract; table does not prove quota value,"FACT about shape; MOCK values","TBC policy thresholds and gross-vs-payout basis"
Penalty records,data/mock/realdata-v1/driver_penalization_ATA.parquet,"amount,type,reason,status,week",month,"S8 feature/solver",no producer,"on-demand policy explanation or recap",new/confirmed contract required; catalog columns unconfirmed,"MOCK corpus","separate project boundary for formal violation explanation"
Anomaly flags,data/mock/realdata-v1/public_frauds.parquet,"type,severity,confidence,status",days,"S9 feature/solver",no producer,"internal risk awareness only",new/confirmed contract required,"MOCK/INFERRED","false accusation, privacy, gaming; not ordinary advice"
Policy bundle,schemas/l0/policy_bundle.schema.json,"version,effective dates,fare,points,bonus,costs",policy period,"all financial solvers",references only,"policy change explanation and caveats",requires authoritative versioned source,"FACT about contract; MOCK content","stale policy and missing official source"
Activity inference,infer_activity.py,"idle_wait,rest_likely,charging_likely,confidence",window/day,"S3 patterns",absent,"recap and passive trend",small wiring where trip/swap events exist,"INFERRED","must display confidence; gaps are not observed activity"
Route geometry,ui/backend routing + demo session,"route_id,geometry,distance,duration,source,real-road flag",transition,"Web map display",not advice,"map context only",OSRM/GraphHopper display integration exists,"PARTIAL","must never become canonical simulator or recommendation state"
