capability,driver_problem,experience_form,signal_composition,current_support,feasibility,provenance,driver_value,uniqueness,main_guard
Repeated risk pattern,"Một vấn đề có lặp nhiều ngày hoặc nhiều lần?",passive/recap,"consecutive KPI/idle/energy events + confidence",multiday history exists,new derived-state projection,MOCK/INFERRED,medium,high,"avoid shame/surveillance wording"
Rush-window pattern,"Khung nào thường hiệu quả hơn với chính tôi?",brief/analytics,"rush split + online hours + personal history",daily tables exist,small wiring,MOCK values; schema real-data-ready,medium,medium,"historical pattern not guaranteed future demand"
Weekly quota pace,"Tôi đang ở đâu trong chu kỳ tuần?",brief/analytics,"weekly income + active days + policy quota",S5 exists but quota TBC,new policy contract,MOCK/TBC,high,medium,"gross-vs-payout basis and official threshold unresolved"
Policy change explanation,"Vì sao cách tính hoặc window thay đổi?",on-demand/passive,"policy_change_event + version diff + effective dates",schema exists; no live producer,new internal contract,requires authoritative live policy,high,high,"source citation and effective-date validation"
Capacity-aware positioning,"Có nên thay đổi vị trí mà không dồn tài xế?",simulator showcase,"demand + supply now/incoming + capacity + allocation",S4 exists and guards herding,simulator showcase only,SIMULATED/PROXY,high,very high,"no production driver-facing target until live capacity and governance"
Weather/event-aware plan,"Môi trường làm thay đổi plan thế nào?",simulator showcase,"rain/temp/event + demand/speed/SOC + plan diff",environment model exists,external/live data required,SIMULATED only,medium,high,"demo default dry; no fake live claim"
Traffic-aware timing,"Tuyến/chậm trễ ảnh hưởng window thế nào?",simulator showcase,"congestion proxy + route dynamics + plan",sim model exists,external/live data required,SIMULATED/PROXY,medium,medium,"order density is not traffic telemetry"
Rating trend,"Phản hồi khách thay đổi thế nào?",opt-in analytics/recap,"rating aggregate + personal baseline",event and daily KPI exist,small wiring,MOCK,low,low,"surveillance and emotional harm; never interrupt"
Penalty explanation,"Khoản trừ nào đã được ghi nhận?",on-demand policy experience,"penalty records + versioned policy + appeal/support link",S8 exists,new/confirmed data contract,MOCK; external authority required,medium,medium,"formal violation explanation is separate project boundary"
Anomaly/fraud flag,"Hệ thống có cờ cần rà soát?",internal/governance,"flag + confidence + status",S9 exists,defer/reject driver nudge,INFERRED,low,low,"false accusation, gaming, privacy"
Specific-order acceptance,"Có nên nhận/hủy cuốc này?",none,"offer economics and route",data exists,reject,NOT APPLICABLE,none,none,"explicit product boundary"
Raw ONLINE reminder,"Tiếp tục online lặp lại",none,"maintenance action only",450+ suppressed revisions,reject,NOT APPLICABLE,low,none,"spam; no material information"
